       Step     Time          Energy         fmax
GPMin:    8 23:13:21       -5.720742        0.0425
GPMin:    9 23:13:27       -5.724855        0.0405
GPMin:   10 23:13:33       -5.730621        0.0385
GPMin:   11 23:13:39       -5.736574        0.0360
GPMin:   12 23:13:45       -5.742894        0.0405
GPMin:   13 23:13:52       -5.750992        0.0432
GPMin:   14 23:13:58       -5.761216        0.0515
GPMin:   15 23:14:04       -5.772231        0.0667
GPMin:   16 23:14:10       -5.785558        0.0783
GPMin:   17 23:14:17       -5.803830        0.0802
GPMin:   18 23:14:23       -5.823493        0.0814
GPMin:   19 23:14:30       -5.841263        0.0773
GPMin:   20 23:14:36       -5.854641        0.0596
GPMin:   21 23:14:43       -5.863483        0.0440
GPMin:   22 23:14:49       -5.867958        0.0299
GPMin:   23 23:14:55       -5.870422        0.0298
GPMin:   24 23:15:00       -5.871880        0.0235
GPMin:   25 23:15:05       -5.872660        0.0191
       Step     Time          Energy         fmax
GPMin:    0 23:15:15       -4.291497        1.5267
GPMin:    1 23:15:21       -5.325631        0.7171
GPMin:    2 23:15:27       -5.723887        0.3090
GPMin:    3 23:15:33       -5.856746        0.0973
GPMin:    4 23:15:38       -5.873097        0.0166
       Step     Time          Energy         fmax
GPMin:    0 23:15:48       -4.303867        1.5231
GPMin:    1 23:15:54       -5.331945        0.7171
GPMin:    2 23:15:59       -5.726740        0.3068
GPMin:    3 23:16:05       -5.857592        0.0946
GPMin:    4 23:16:11       -5.873362        0.0126
       Step     Time          Energy         fmax
GPMin:    0 23:16:20       -4.259719        1.3859
GPMin:    1 23:16:27       -5.215485        0.6348
GPMin:    2 23:16:34       -5.578355        0.3004
GPMin:    3 23:16:41       -5.698145        0.1237
GPMin:    4 23:16:47       -5.715545        0.0542
GPMin:    5 23:16:52       -5.717874        0.0474
GPMin:    6 23:16:58       -5.726492        0.0239
GPMin:    7 23:17:04       -5.728859        0.0131
       Step     Time          Energy         fmax
GPMin:    0 23:17:15       -3.712006        1.3859
GPMin:    1 23:17:25       -4.660993        0.7323
GPMin:    2 23:17:33       -5.048047        0.4255
GPMin:    3 23:17:41       -5.205385        0.2612
GPMin:    4 23:17:49       -5.256565        0.1877
GPMin:    5 23:17:56       -5.281750        0.1531
GPMin:    6 23:18:03       -5.292452        0.1688
GPMin:    7 23:18:11       -5.357829        0.2693
GPMin:    8 23:18:18       -5.411629        0.2831
GPMin:    9 23:18:25       -5.470976        0.2532
GPMin:   10 23:18:31       -5.540318        0.1940
GPMin:   11 23:18:38       -5.596445        0.1443
GPMin:   12 23:18:44       -5.623510        0.1315
GPMin:   13 23:18:50       -5.642165        0.1434
GPMin:   14 23:18:57       -5.669319        0.1178
GPMin:   15 23:19:03       -5.694979        0.1069
GPMin:   16 23:19:09       -5.717762        0.1021
GPMin:   17 23:19:16       -5.740128        0.1005
GPMin:   18 23:19:22       -5.763086        0.1038
GPMin:   19 23:19:28       -5.781672        0.0936
GPMin:   20 23:19:34       -5.794389        0.0801
GPMin:   21 23:19:39       -5.804246        0.0698
GPMin:   22 23:19:45       -5.815805        0.0711
GPMin:   23 23:19:51       -5.828348        0.0803
GPMin:   24 23:19:56       -5.842544        0.0814
GPMin:   25 23:20:02       -5.855055        0.0652
GPMin:   26 23:20:08       -5.863914        0.0428
GPMin:   27 23:20:14       -5.868331        0.0337
GPMin:   28 23:20:19       -5.870169        0.0278
GPMin:   29 23:20:25       -5.871009        0.0301
GPMin:   30 23:20:30       -5.872136        0.0237
GPMin:   31 23:20:35       -5.872319        0.0208
GPMin:   32 23:20:40       -5.872771        0.0127
       Step     Time          Energy         fmax
GPMin:    0 23:20:51       -3.971071        1.4107
GPMin:    1 23:20:59       -4.952803        0.6847
GPMin:    2 23:21:06       -5.337837        0.3195
GPMin:    3 23:21:13       -5.478003        0.1323
GPMin:    4 23:21:20       -5.504059        0.0478
GPMin:    5 23:21:26       -5.505402        0.0460
GPMin:    6 23:21:33       -5.517844        0.0465
GPMin:    7 23:21:39       -5.523546        0.0483
GPMin:    8 23:21:46       -5.542056        0.2323
GPMin:    9 23:21:52       -5.566469        0.1085
GPMin:   10 23:22:07       -5.574281        0.0566
GPMin:   11 23:22:14       -5.578569        0.1041
GPMin:   12 23:22:21       -5.603965        0.0758
GPMin:   13 23:22:26       -5.607206        0.0706
GPMin:   14 23:22:32       -5.625575        0.0696
GPMin:   15 23:22:39       -5.640891        0.0720
GPMin:   16 23:22:45       -5.661882        0.0747
GPMin:   17 23:22:51       -5.687416        0.0801
GPMin:   18 23:22:56       -5.716849        0.0827
GPMin:   19 23:23:02       -5.751387        0.0893
GPMin:   20 23:23:08       -5.781132        0.0952
GPMin:   21 23:23:15       -5.811942        0.0901
GPMin:   22 23:23:21       -5.838759        0.0758
GPMin:   23 23:23:28       -5.858138        0.0474
GPMin:   24 23:23:34       -5.866728        0.0272
GPMin:   25 23:23:40       -5.869166        0.0264
GPMin:   26 23:23:46       -5.870338        0.0248
GPMin:   27 23:23:51       -5.871650        0.0270
GPMin:   28 23:23:56       -5.872276        0.0226
GPMin:   29 23:24:02       -5.873223        0.0137
       Step     Time          Energy         fmax
GPMin:    0 23:24:11       -3.976831        1.4053
GPMin:    1 23:24:19       -4.955387        0.6809
GPMin:    2 23:24:27       -5.339339        0.3181
GPMin:    3 23:24:34       -5.478269        0.1295
GPMin:    4 23:24:41       -5.503860        0.0470
GPMin:    5 23:24:46       -5.505167        0.0455
GPMin:    6 23:24:53       -5.517920        0.0482
GPMin:    7 23:24:59       -5.523903        0.0499
GPMin:    8 23:25:06       -5.543138        0.2151
GPMin:    9 23:25:12       -5.565344        0.1031
GPMin:   10 23:25:26       -5.572285        0.0658
GPMin:   11 23:25:40       -5.600330        0.0789
GPMin:   12 23:25:46       -5.605763        0.0799
GPMin:   13 23:25:53       -5.624605        0.0693
GPMin:   14 23:25:59       -5.634097        0.0692
GPMin:   15 23:26:06       -5.659735        0.0791
GPMin:   16 23:26:12       -5.679627        0.0910
GPMin:   17 23:26:17       -5.706515        0.0926
GPMin:   18 23:26:23       -5.740181        0.0930
GPMin:   19 23:26:29       -5.768531        0.0956
GPMin:   20 23:26:36       -5.797780        0.0959
GPMin:   21 23:26:42       -5.825112        0.0853
GPMin:   22 23:26:49       -5.848876        0.0667
GPMin:   23 23:26:55       -5.863397        0.0345
GPMin:   24 23:27:01       -5.868353        0.0325
GPMin:   25 23:27:07       -5.869777        0.0277
GPMin:   26 23:27:12       -5.870999        0.0245
GPMin:   27 23:27:18       -5.872126        0.0285
GPMin:   28 23:27:23       -5.872808        0.0225
GPMin:   29 23:27:29       -5.873340        0.0085
       Step     Time          Energy         fmax
GPMin:    0 23:27:39       -3.972869        1.4040
GPMin:    1 23:27:47       -4.953635        0.6817
GPMin:    2 23:27:55       -5.338843        0.3166
GPMin:    3 23:28:02       -5.478289        0.1331
GPMin:    4 23:28:09       -5.504263        0.0491
GPMin:    5 23:28:15       -5.505622        0.0471
GPMin:    6 23:28:21       -5.518540        0.0478
GPMin:    7 23:28:27       -5.524458        0.0495
GPMin:    8 23:28:34       -5.542598        0.2187
GPMin:    9 23:28:41       -5.565702        0.1028
GPMin:   10 23:28:55       -5.572758        0.0655
GPMin:   11 23:29:09       -5.598853        0.0883
GPMin:   12 23:29:15       -5.606041        0.0820
GPMin:   13 23:29:21       -5.618435        0.0780
GPMin:   14 23:29:26       -5.630419        0.0701
GPMin:   15 23:29:32       -5.645738        0.0698
GPMin:   16 23:29:37       -5.666172        0.0731
GPMin:   17 23:29:43       -5.695846        0.0835
GPMin:   18 23:29:49       -5.719545        0.0899
GPMin:   19 23:29:55       -5.753274        0.0937
GPMin:   20 23:30:01       -5.783715        0.0927
GPMin:   21 23:30:07       -5.815545        0.0821
GPMin:   22 23:30:14       -5.842005        0.0660
GPMin:   23 23:30:20       -5.859414        0.0483
GPMin:   24 23:30:26       -5.866972        0.0324
GPMin:   25 23:30:32       -5.869406        0.0275
GPMin:   26 23:30:37       -5.870314        0.0233
GPMin:   27 23:30:42       -5.871671        0.0232
GPMin:   28 23:30:47       -5.872403        0.0196
       Step     Time          Energy         fmax
GPMin:    0 23:30:57       -4.267722        1.3733
GPMin:    1 23:31:05       -5.219208        0.6335
GPMin:    2 23:31:12       -5.580265        0.2988
GPMin:    3 23:31:18       -5.698605        0.1225
GPMin:    4 23:31:24       -5.715710        0.0548
GPMin:    5 23:31:29       -5.718054        0.0467
GPMin:    6 23:31:36       -5.726631        0.0242
GPMin:    7 23:31:42       -5.728972        0.0132
       Step     Time          Energy         fmax
GPMin:    0 23:31:52       -3.966573        1.4095
GPMin:    1 23:32:00       -4.950157        0.6844
GPMin:    2 23:32:08       -5.337143        0.3188
GPMin:    3 23:32:15       -5.477847        0.1309
GPMin:    4 23:32:22       -5.503996        0.0469
GPMin:    5 23:32:28       -5.505316        0.0464
GPMin:    6 23:32:35       -5.518365        0.0476
GPMin:    7 23:32:40       -5.524219        0.0495
GPMin:    8 23:32:48       -5.538028        0.2534
GPMin:    9 23:32:54       -5.566569        0.1139
GPMin:   10 23:33:00       -5.575244        0.0455
GPMin:   11 23:33:06       -5.580097        0.0765
GPMin:   12 23:33:13       -5.599509        0.0755
GPMin:   13 23:33:17       -5.602334        0.0696
GPMin:   14 23:33:23       -5.614751        0.0644
GPMin:   15 23:33:29       -5.628998        0.0606
GPMin:   16 23:33:35       -5.648485        0.0564
GPMin:   17 23:33:40       -5.668589        0.0701
