       Step     Time          Energy         fmax
GPMin:    6 21:12:46       -4.777420        0.0714
GPMin:    7 21:12:51       -4.797744        0.0630
GPMin:    8 21:12:55       -4.822997        0.0685
GPMin:    9 21:13:01       -4.851613        0.0756
GPMin:   10 21:13:06       -4.883274        0.0756
GPMin:   11 21:13:11       -4.908978        0.0576
GPMin:   12 21:13:16       -4.923843        0.0447
GPMin:   13 21:13:20       -4.928723        0.0243
GPMin:   14 21:13:24       -4.929792        0.0227
GPMin:   15 21:13:28       -4.931422        0.0189
       Step     Time          Energy         fmax
GPMin:    0 21:13:49       -4.221834        0.1752
GPMin:    1 21:13:54       -4.310286        0.2062
GPMin:    2 21:13:59       -4.409793        0.2044
GPMin:    3 21:14:04       -4.487763        0.1471
GPMin:    4 21:14:10       -4.521295        0.0902
GPMin:    5 21:14:15       -4.541872        0.0814
GPMin:    6 21:14:19       -4.587482        0.1023
GPMin:    7 21:14:24       -4.654688        0.1241
GPMin:    8 21:14:29       -4.722409        0.1322
GPMin:    9 21:14:33       -4.779526        0.1265
GPMin:   10 21:14:38       -4.817598        0.0970
GPMin:   11 21:14:43       -4.842395        0.0961
GPMin:   12 21:14:48       -4.865078        0.0900
GPMin:   13 21:14:52       -4.888549        0.0576
GPMin:   14 21:14:56       -4.902639        0.0491
GPMin:   15 21:15:01       -4.911930        0.0576
GPMin:   16 21:15:05       -4.921556        0.0612
GPMin:   17 21:15:09       -4.927682        0.0388
GPMin:   18 21:15:14       -4.931213        0.0239
GPMin:   19 21:15:18       -4.932238        0.0192
       Step     Time          Energy         fmax
GPMin:    0 21:15:26       -4.232239        0.2051
GPMin:    1 21:15:32       -4.295053        0.2421
GPMin:    2 21:15:38       -4.399861        0.2150
GPMin:    3 21:15:44       -4.494830        0.2095
GPMin:    4 21:15:49       -4.578587        0.1301
GPMin:    5 21:15:55       -4.630902        0.1317
GPMin:    6 21:16:00       -4.686471        0.1315
GPMin:    7 21:16:05       -4.732531        0.1061
GPMin:    8 21:16:09       -4.760945        0.0802
GPMin:    9 21:16:13       -4.778753        0.0758
GPMin:   10 21:16:18       -4.797471        0.0899
GPMin:   11 21:16:22       -4.819971        0.0743
GPMin:   12 21:16:28       -4.842821        0.0837
GPMin:   13 21:16:33       -4.871780        0.0766
GPMin:   14 21:16:38       -4.899875        0.0690
GPMin:   15 21:16:43       -4.918343        0.0641
GPMin:   16 21:16:47       -4.927027        0.0511
GPMin:   17 21:16:52       -4.929975        0.0296
GPMin:   18 21:16:55       -4.931562        0.0191
